Ação,Data,Abertura,Fechamento,Min,Max,Volume
EGIEK393,2025-09-23,3.34,3.34,3.34,3.34,
CSNAV719,2025-09-23,0.06,0.06,0.06,0.06,
ROMIW810,2025-09-23,0.25,0.29,0.25,0.29,
AHEB3,2025-09-23,29.59,29.59,29.59,29.59,
JHSFK530,2025-09-23,1.15,1.15,1.15,1.15,
KMBB34,2025-09-23,661.5,654.06,654.06,661.5,
ALPAV102,2025-09-23,0.51,0.52,0.51,0.52,
BRKMW840,2025-09-23,0.56,0.57,0.56,0.57,
ELETW418,2025-09-23,0.05,0.05,0.04,0.05,
ELETK471,2025-09-23,6.65,6.65,6.65,6.65,
BEEFI640W4,2025-09-23,0.11,0.11,0.11,0.11,
CPLEJ12,2025-09-23,0.93,0.93,0.93,0.93,
MYPKV130,2025-09-23,0.44,0.44,0.44,0.44,
MULTW311,2025-09-23,2.03,2.03,2.03,2.03,
ENEVJ152,2025-09-23,1.5,1.5,1.5,1.5,
HAGA4,2025-09-23,1.15,1.16,1.14,1.16,
ENGIK531,2025-09-23,1.65,1.65,1.65,1.65,
PNVLK103,2025-09-23,0.31,0.31,0.31,0.31,
ENMT4,2025-09-23,54.1,54.1,54.1,54.1,
GRNDV510,2025-09-23,0.02,0.02,0.02,0.02,
CPLE5,2025-09-23,12.9,12.9,12.9,12.9,
CMIGL113,2025-09-23,1.38,1.38,1.38,1.38,
EZTCW172,2025-09-23,0.74,0.74,0.74,0.74,
TAEEK396,2025-09-23,0.15,0.15,0.15,0.15,
CPFEW367,2025-09-23,0.3,0.3,0.3,0.3,
SCHW34,2025-09-23,62.7,62.7,62.7,62.7,
PNVLJ100,2025-09-23,0.19,0.19,0.19,0.19,
ENGIV486,2025-09-23,0.42,0.42,0.42,0.42,
RANIW772,2025-09-23,0.08,0.08,0.08,0.08,
EGIEK426,2025-09-23,1.47,1.47,1.47,1.47,
GGRC11,2025-09-23,9.92,9.9,9.88,9.93,
HGBS11,2025-09-23,19.99,20.15,19.93,20.24,
AJFI11,2025-09-23,7.91,7.9,7.85,7.91,
FCFL11,2025-09-23,124.76,126.49,124.75,126.49,
JSRE11,2025-09-23,62,62,61.88,62.13,
BTCI11,2025-09-23,9.35,9.31,9.3,9.35,
EVEN3,2025-09-23,7.79,7.8,7.75,7.88,
TUPY3F,2025-09-23,13.87,13.65,13.55,13.94,
