Ativo,DataPregao,Abertura,Fechamento,PrecoMin,PrecoMax,Volume
ENGI11F,2025-10-07,49.25,48.47,48.1,49.34,895
PCIP11,2025-10-07,83.3,83.2,83.08,83.66,6563
SAPR11F,2025-10-07,36.14,34.86,34.81,36.14,2070
CPFE3,2025-10-07,38.44,37.9,37.89,38.44,3744
HGLG11,2025-10-07,160.61,160.1,159.3,161.5,12738
VERZ34,2025-10-07,37.05,36.8,36.77,37.18,65
MELI34,2025-10-07,96.31,97.15,94.15,97.15,3684
SAPR4F,2025-10-07,7.14,6.82,6.8,7.14,5053
P2LT34,2025-10-07,320,326.5,319.36,331.28,1092
VULC3,2025-10-07,19.42,19.08,18.91,19.42,3378
SAPR11,2025-10-07,36.13,34.81,34.81,36.14,5995
WHGR11,2025-10-07,9.02,9.04,9,9.13,4533
VGIR11,2025-10-07,9.56,9.54,9.52,9.56,9458
KISU11,2025-10-07,6.73,6.72,6.69,6.74,1404
VINO11,2025-10-07,4.96,4.99,4.96,5,2327
CSNAJ829,2025-10-07,0.47,0.35,0.34,0.47,22
TAEE3F,2025-10-07,12.02,11.93,11.9,12.05,1157
TOPP11,2025-10-07,68.5,68.47,67.93,68.5,3975
MDIA3,2025-10-07,27.6,27.04,26.79,27.66,2605
BTAL11,2025-10-07,80.23,79.4,79.1,80.67,755
MULTJ286,2025-10-07,0.22,0.16,0.16,0.22,9
NFLX34,2025-10-07,124.81,127.36,124.81,128,754
VGRI11,2025-10-07,8.53,8.52,8.49,8.53,1681
HFOF11,2025-10-07,6.13,6.17,6.13,6.18,2633
AGRO3F,2025-10-07,20.3,20.17,20.1,20.31,1406
EZTC3F,2025-10-07,16.29,15.98,15.72,16.29,810
RZAK11,2025-10-07,82.11,82.48,81.97,82.48,929
ODPV3F,2025-10-07,13.49,13.47,13.28,13.53,697
DAMA11,2025-10-07,6.96,6.9,6.76,6.97,25
IMAB11,2025-10-07,104.9,104.27,104.27,104.9,2734
BRKM6F,2025-10-07,7.24,7.25,7.24,7.25,9
SCPF11,2025-10-07,2.7,2.59,2.59,2.7,10
NAVT11,2025-10-07,70,70.33,69.62,70.5,72
ALZC11,2025-10-07,7.77,7.73,7.71,7.77,254
T2DH34,2025-10-07,1.53,1.51,1.47,1.54,24
FIIB11,2025-10-07,494.61,494.74,492.9,495.93,180
CEOC11,2025-10-07,45.54,45.11,45.11,45.81,28
TOTSW439,2025-10-07,1.59,1.72,1.59,1.82,11
RECM11,2025-10-07,8.6,8.6,8.59,8.67,37
TSMC34,2025-10-07,205,197.61,196.3,205.9,935
CSNAW869,2025-10-07,0.48,0.51,0.48,0.51,5
RCRB11,2025-10-07,127.99,126.54,125.41,127.99,3588
AZPL11,2025-10-07,7.63,7.65,7.56,7.67,391
ELETW540,2025-10-07,2.68,2.68,2.68,2.68,1
ELETW467,2025-10-07,0.35,0.32,0.32,0.35,2
CMIGJ118,2025-10-07,0.2,0.13,0.11,0.2,74
P2AT34,2025-10-07,10.1,9.85,9.53,10.1,12
INEP3,2025-10-07,1.47,1.42,1.42,1.53,53
APTO11,2025-10-07,8.44,8.41,8.4,8.46,115
EQTLV325,2025-10-07,0.02,0.02,0.02,0.02,1
TAEE3,2025-10-07,11.91,11.96,11.9,12.04,282
M2PM34,2025-10-07,80.87,79.29,77.5,83,30
PGCO34,2025-10-07,57.51,58.2,57.12,58.49,73
RNEW4F,2025-10-07,1,0.95,0.95,1,105
GSFI11,2025-10-07,9.6,9.55,9.49,9.96,57
REDE3F,2025-10-07,6.44,6.45,6.36,6.48,36
DAMT11,2025-10-07,13.9,13.8,13.8,13.9,2
RCRI11,2025-10-07,99.05,99.02,99.02,99.24,96
CMIGK11,2025-10-07,0.15,0.14,0.13,0.16,33
W1BD34,2025-10-07,101.42,99.41,99.41,101.42,3
TORD11,2025-10-07,3.11,3.1,3.1,3.13,124
WPLZ11,2025-10-07,49.95,49.94,47.01,49.95,8
RDNI3F,2025-10-07,2.05,2.04,2.04,2.06,21
BRKMK620,2025-10-07,0.83,0.79,0.79,0.9,16
ELETJ530,2025-10-07,0.62,0.41,0.4,0.62,48
JPPA11,2025-10-07,78.99,78.8,78.57,78.99,42
MOAR3F,2025-10-07,72.98,74,72.03,74.98,49
BBFO11,2025-10-07,61.99,62,61.7,62.43,135
TELB4,2025-10-07,8.23,8.28,8.23,8.46,16
V1OD34,2025-10-07,30.25,30.15,29.73,30.25,8
S2FM34,2025-10-07,182,180.37,180.37,182,2
TJKB11,2025-10-07,249,249.9,248.89,249.9,24
QCOM34,2025-10-07,75.3,73.84,73.58,76.39,108
RBRD11,2025-10-07,40.44,40.01,39.75,40.44,88
RIOT34,2025-10-07,350,355.32,350,357.11,8
ULEV34,2025-10-07,311.86,312.79,310.93,313.1,4
BIOM3,2025-10-07,9.9,10.14,9.76,10.31,206
S2EA34,2025-10-07,40.54,41.26,40.16,41.26,764
FSPE11F,2025-10-07,0.24,0.2,0.2,0.24,6
CPLE5F,2025-10-07,12.84,13.47,12.84,13.48,16
HYBR11,2025-10-07,50.6,50.31,50.3,50.6,13
RADLW168,2025-10-07,0.29,0.28,0.28,0.29,3
SIMN34,2025-10-07,240.41,239.8,237.72,240.41,14
EUCA4,2025-10-07,16.92,16.83,16.67,16.92,209
BTYU11,2025-10-07,9.25,9.25,9.25,9.96,44
LBRD34,2025-10-07,28.9,28.79,28.71,28.95,10
MYPKW108,2025-10-07,0.28,0.28,0.28,0.28,2
PTNT3F,2025-10-07,7.51,7.42,7.42,7.51,4
CEDO3F,2025-10-07,15.01,14.76,14.66,15.01,6
CTAX3F,2025-10-07,1.21,1.1,1.1,1.21,20
EMAE4F,2025-10-07,35.01,37.17,34.03,37.17,66
BRKML122,2025-10-07,0.02,0.03,0.02,0.03,3
ENEVV165,2025-10-07,0.45,0.51,0.44,0.53,13
RMAI11,2025-10-07,54.99,65,54.99,72,23
SMRE11,2025-10-07,79.67,78.79,78.79,79.85,495
MULTJ273,2025-10-07,0.76,0.71,0.69,0.76,17
SAPRK333,2025-10-07,2.59,2.54,2.53,2.59,14
MCEM11,2025-10-07,65.75,64.68,64.4,65.77,40
MULTK313,2025-10-07,0.13,0.12,0.12,0.13,3
AGROV200,2025-10-07,0.1,0.1,0.1,0.1,1
CPLEK125,2025-10-07,0.33,0.32,0.32,0.33,2
RBFY11,2025-10-07,89,73,60.04,89,33
PHIP11,2025-10-07,108.58,108.21,108.21,108.58,4
N1OW34,2025-10-07,97,96.51,95.44,97.11,206
V1TA34,2025-10-07,184.08,184.86,184.08,186.3,420
TAEEX382,2025-10-07,0.28,0.28,0.2,0.31,32
BRKMK960,2025-10-07,0.05,0.05,0.05,0.05,1
BRKMW600,2025-10-07,0.22,0.25,0.21,0.25,17
ALPAK971,2025-10-07,0.45,0.41,0.41,0.45,2
ELETJ426,2025-10-07,11.29,11,10.8,11.29,3
M1CK34,2025-10-07,983.61,1003.34,983.61,1003.52,65
EQTLV340W5,2025-10-07,0.3,0.29,0.29,0.3,2
L2AZ34,2025-10-07,5.84,5.52,5.44,5.84,13
EGIEW448,2025-10-07,3.64,3.38,3.26,3.64,20
L1MN34,2025-10-07,38.15,37.07,36.77,38.63,22
CGAS5F,2025-10-07,127.98,128,127.47,129.99,67
RADLK188,2025-10-07,1.02,1,0.96,1.09,19
ALPAJ971,2025-10-07,0.09,0.08,0.08,0.09,2
TAEEW371,2025-10-07,0.63,0.68,0.58,0.69,9
BRKMK100,2025-10-07,0.04,0.04,0.04,0.04,1
CPLEV123,2025-10-07,0.1,0.15,0.1,0.18,14
EQTLW338,2025-10-07,0.38,0.47,0.37,0.48,21
EQTLW333,2025-10-07,0.35,0.37,0.28,0.37,16
ELETX474,2025-10-07,0.62,0.62,0.62,0.72,4
TAEEX380,2025-10-07,0.45,0.55,0.43,0.56,43
SAPRK363,2025-10-07,0.85,0.79,0.79,0.85,3
BRKMV990,2025-10-07,3.15,3.24,3.15,3.24,3
EQTLJ363,2025-10-07,0.2,0.18,0.18,0.2,3
ELETV2,2025-10-07,0.22,0.24,0.22,0.26,6
MULTW251,2025-10-07,0.21,0.2,0.2,0.21,3
J2WA34,2025-10-07,41.09,41.28,41.09,41.28,3
TAEEV376,2025-10-07,0.78,0.85,0.58,0.86,25
CPFEK407,2025-10-07,0.4,0.4,0.4,0.4,1
RECD11,2025-10-07,8.05,8.39,8.05,8.39,7
RANIK932,2025-10-07,0.11,0.12,0.11,0.13,9
ENEVW170,2025-10-07,0.93,1.01,0.93,1.01,4
CGRA3F,2025-10-07,30.17,30.7,30.15,31.99,15
ELETJ49,2025-10-07,2.5,2.3,2.22,2.5,11
MDIAK290,2025-10-07,0.78,0.78,0.78,0.78,1
EQTLK368,2025-10-07,0.81,0.73,0.73,0.81,4
U1RI34,2025-10-07,189.9,188.49,188.1,191.11,77
MNDL3F,2025-10-07,18,18,18,18,1
EGIEV406,2025-10-07,0.35,0.4,0.26,0.47,15
HAGA3,2025-10-07,1.81,1.77,1.65,1.84,31
EGIEJ350,2025-10-07,7.4,7.4,7.4,7.4,1
CPLEK143,2025-10-07,0.02,0.02,0.02,0.02,2
BEEF11F,2025-10-07,2.82,2.81,2.78,2.91,18
MULTK286,2025-10-07,0.75,0.77,0.74,0.84,83
EQTLW358,2025-10-07,1.13,1.17,0.94,1.21,5
CPFEX392,2025-10-07,0.9,0.9,0.9,0.9,1
BEEFL751,2025-10-07,0.18,0.22,0.18,0.22,6
EGIEJ410W2,2025-10-07,0.2,0.2,0.2,0.2,1
CPLEK90,2025-10-07,4.81,4.74,4.74,4.81,6
TAEEM343,2025-10-07,0.2,0.24,0.2,0.24,3
GEPA4,2025-10-07,34.92,34.92,34.92,34.92,1
CMIGC115,2025-10-07,1.14,1.14,1.14,1.14,1
ELETW510,2025-10-07,1.37,1.4,1.37,1.46,8
CSNAX600,2025-10-07,0.04,0.04,0.04,0.04,1
TAEEJ351,2025-10-07,1.8,1.8,1.8,1.87,4
W1AB34,2025-10-07,530.17,530.17,530.17,530.17,1
WLMM3F,2025-10-07,21.34,21.26,21.26,21.34,5
EQTLM345,2025-10-07,0.85,0.85,0.85,0.85,1
BIED3F,2025-10-07,3.2,3.2,3.2,3.2,1
JHSFW620,2025-10-07,0.24,0.21,0.21,0.26,5
CSNAJ840W2,2025-10-07,0.27,0.16,0.16,0.28,5
TAEEW341,2025-10-07,0.08,0.08,0.08,0.08,1
SAPRK373,2025-10-07,0.53,0.45,0.45,0.53,4
BRKMV860,2025-10-07,1.92,1.92,1.92,1.92,1
SAPRW340,2025-10-07,0.34,0.5,0.34,0.5,3
BRKMW850,2025-10-07,1.87,1.87,1.87,1.87,1
GPAR3F,2025-10-07,19.08,19.08,19.08,19.08,4
EQTLW348,2025-10-07,0.77,0.78,0.7,0.78,3
CSNAV880W2,2025-10-07,0.39,0.4,0.39,0.4,9
ENEVW140,2025-10-07,0.06,0.06,0.06,0.06,1
CPLEW120,2025-10-07,0.18,0.2,0.18,0.2,2
EZTCW172,2025-10-07,1.3,1.3,1.3,1.3,1
EQTLV370,2025-10-07,1.67,1.67,1.67,1.67,1
MDIAW283,2025-10-07,1.79,1.79,1.79,1.79,1
N2ET34,2025-10-07,64.89,64.89,64.89,64.89,1
EQTLV365W2,2025-10-07,1.14,1.17,0.8,1.17,4
ELETV46,2025-10-07,0.06,0.07,0.04,0.22,5
BRKMV640,2025-10-07,0.14,0.15,0.14,0.15,2
ELETV562,2025-10-07,0.69,0.79,0.69,0.92,28
EZTCV157,2025-10-07,0.18,0.18,0.18,0.21,4
SMFTK253,2025-10-07,0.8,0.79,0.79,0.8,2
CSNAK839,2025-10-07,0.73,0.57,0.57,0.73,10
CSNAV789,2025-10-07,0.05,0.07,0.05,0.07,10
RADLL215,2025-10-07,0.44,0.42,0.4,0.44,10
SMFTJ253,2025-10-07,0.19,0.19,0.19,0.19,2
ENEVW150,2025-10-07,0.17,0.18,0.17,0.2,7
RADLK210,2025-10-07,0.42,0.37,0.35,0.42,5
TAEEX381,2025-10-07,1.45,1.64,1.44,1.64,31
SAPRJ316,2025-10-07,3.56,3.49,3.49,3.56,3
LEVEK290,2025-10-07,0.23,0.23,0.23,0.23,1
ELETL522,2025-10-07,2.6,2.6,2.6,2.6,1
ENEVK180,2025-10-07,0.15,0.15,0.15,0.15,1
SAPRW358,2025-10-07,1,1.24,1,1.24,4
RADLW163,2025-10-07,0.25,0.25,0.25,0.26,5
BRKMV740,2025-10-07,0.79,0.76,0.68,0.82,9
MULTW286,2025-10-07,1.3,1.34,1.26,1.34,13
PRSV11,2025-10-07,36.62,35.04,35.04,36.62,5
ELETV520W4,2025-10-07,1.15,1.22,1.15,1.22,2
BRKMV120,2025-10-07,5.27,5.27,5.27,5.27,1
RADLV190W4,2025-10-07,0.87,0.87,0.87,0.87,1
ENGIV501,2025-10-07,0.78,1.13,0.78,1.16,6
ODPVJ140,2025-10-07,0.08,0.08,0.07,0.1,4
CTKA4,2025-10-07,34.9,34.99,34.9,34.99,3
T1LK34,2025-10-07,49.15,49.15,49.15,49.15,1
CSNAW858,2025-10-07,0.7,0.61,0.61,0.7,102
VULCK196,2025-10-07,0.53,0.5,0.5,0.53,6
EDGA11,2025-10-07,15.06,14.63,14.63,15.06,6
CPFEJ404,2025-10-07,0.08,0.08,0.08,0.08,1
HUCG11,2025-10-07,94.6,98.99,94.6,98.99,4
ELETW490W1,2025-10-07,0.65,0.66,0.64,0.66,3
CSNAW719,2025-10-07,0.09,0.09,0.09,0.09,2
BMLC11,2025-10-07,94.62,94.61,94.61,94.62,4
BRKMW920,2025-10-07,2.52,2.52,2.52,2.52,1
BEEFX701,2025-10-07,0.58,0.58,0.58,0.58,1
AZEV12F,2025-10-07,0.07,0.07,0.07,0.07,1
FCFL11,2025-10-07,127.16,126,125.76,127.16,17
RADLW153,2025-10-07,0.13,0.13,0.13,0.13,1
S1YK34,2025-10-07,97.71,98.61,97.71,98.61,2
BRKMV720,2025-10-07,0.62,0.63,0.52,0.63,7
CMIGV105W4,2025-10-07,0.04,0.04,0.04,0.04,1
CSNAV114,2025-10-07,3.02,3.02,3.02,3.02,2
TAEEW401,2025-10-07,2.84,2.84,2.84,2.84,1
RADLK168,2025-10-07,2.15,2.15,2.15,2.15,1
SCHW34,2025-10-07,62.46,62.58,62.46,62.7,3
MDIAW269,2025-10-07,0.99,0.99,0.99,0.99,1
BRKMK760,2025-10-07,0.25,0.22,0.22,0.25,2
TOTSJ460,2025-10-07,0.2,0.2,0.2,0.2,2
TUPYW160,2025-10-07,3.1,3.1,3.1,3.1,1
VXXV11,2025-10-07,685,685,685,685,2
JHSFJ747,2025-10-07,0.04,0.03,0.03,0.04,2
SAPRK353,2025-10-07,1.26,1.24,1.24,1.26,3
EGIEL500,2025-10-07,0.21,0.21,0.21,0.21,1
CSNAW809,2025-10-07,0.29,0.27,0.27,0.29,2
ELETJ500,2025-10-07,6.4,6.4,6.4,6.4,1
MULTK296,2025-10-07,0.42,0.43,0.39,0.43,5
VULCL180,2025-10-07,1.9,1.9,1.9,1.9,1
TOTSV402,2025-10-07,0.06,0.06,0.06,0.06,1
BEEFJ740W4,2025-10-07,0.04,0.04,0.04,0.04,1
ELETV500W5,2025-10-07,0.66,0.66,0.66,0.66,1
TUPYW130,2025-10-07,0.7,0.7,0.7,0.7,1
VULCJ214,2025-10-07,0.06,0.06,0.06,0.06,1
TOTSE430,2025-10-07,5,5,5,5,1
BEEFJ720W2,2025-10-07,0.01,0.02,0.01,0.02,2
CPLER847,2025-10-07,0.02,0.02,0.02,0.02,2
ENGIJ511,2025-10-07,0.35,0.27,0.27,0.35,3
TAEEX391,2025-10-07,2.15,2.13,2.13,2.15,2
CSNAJ749,2025-10-07,1.17,1.06,1.05,1.17,3
SMFTW233,2025-10-07,0.45,0.5,0.45,0.5,2
MDIAK250,2025-10-07,3.18,3.18,3.18,3.18,1
ENGIW501,2025-10-07,1.5,1.73,1.5,1.73,7
TOTSJ400,2025-10-07,4.12,4.12,4.12,4.12,1
NMRH34,2025-10-07,38.24,38.24,38.24,38.24,1
BRKML700,2025-10-07,0.5,0.5,0.5,0.5,1
MYPKW113,2025-10-07,0.5,0.54,0.5,0.54,2
N2VC34,2025-10-07,7.64,7.64,7.64,7.64,1
ENEVJ157,2025-10-07,0.55,0.55,0.55,0.55,1
RADLV163,2025-10-07,0.03,0.03,0.03,0.03,1
ELETW495W1,2025-10-07,0.77,0.77,0.77,0.77,1
ALPAK791,2025-10-07,1.67,1.67,1.67,1.67,1
CMIGJ128,2025-10-07,0.01,0.01,0.01,0.01,6
CSNAJ769,2025-10-07,0.93,0.87,0.87,1.01,3
ENEVK145,2025-10-07,2.01,2,2,2.01,3
ELETL541,2025-10-07,4.59,4.59,4.59,4.59,1
M1KT34,2025-10-07,18.24,18.24,18.24,18.24,1
TOTSD431,2025-10-07,5,5,5,5,1
BRKMK820,2025-10-07,0.12,0.14,0.12,0.14,3
TAEEX336,2025-10-07,0.11,0.12,0.11,0.12,2
S2TW34,2025-10-07,33.7,33.9,33.7,33.9,5
BEEFJ431,2025-10-07,2.36,2.36,2.36,2.36,1
ALPAK991,2025-10-07,0.34,0.34,0.34,0.34,1
VLIDW201,2025-10-07,0.51,0.51,0.51,0.51,1
CSNAK759,2025-10-07,1.25,1.14,1.14,1.25,2
TOTSJ372,2025-10-07,6.82,6.82,6.82,6.82,1
EGIEJ420W4,2025-10-07,0.3,0.3,0.3,0.3,1
SAPRL367,2025-10-07,1,1,1,1,1
EGIEK390,2025-10-07,3.5,3.84,3.5,3.88,30
SPG211,2025-10-07,10,10.2,10,10.2,2
MULTJ241,2025-10-07,3.6,3.6,3.6,3.6,1
SAPRJ356,2025-10-07,0.62,0.48,0.4,0.62,5
CSNAK112,2025-10-07,0.03,0.03,0.03,0.03,1
BRKMK760W1,2025-10-07,0.17,0.17,0.17,0.19,4
GRNDJ550,2025-10-07,0.01,0.01,0.01,0.01,1
CSNAJ940W4,2025-10-07,0.06,0.06,0.06,0.06,1
ELETW451,2025-10-07,0.13,0.13,0.12,0.13,4
BEEFJ731,2025-10-07,0.03,0.03,0.03,0.04,7
JHSFW580,2025-10-07,0.07,0.08,0.07,0.08,2
EGIEX413,2025-10-07,1.6,1.7,1.3,1.7,6
CMIGW131,2025-10-07,1.23,1.23,1.23,1.23,2
BEEFE510,2025-10-07,2.1,2.1,2.1,2.1,1
BEEFK595,2025-10-07,0.82,0.99,0.82,0.99,2
RADLL230,2025-10-07,0.26,0.26,0.26,0.27,4
EQTLJ360W2,2025-10-07,0.17,0.17,0.17,0.17,1
EQTLJ370W4,2025-10-07,0.24,0.24,0.24,0.24,1
BRKMV107,2025-10-07,3.96,3.96,3.96,3.96,1
T2ER34,2025-10-07,43.5,43.5,43.5,43.5,1
CPFEV359,2025-10-07,0.04,0.04,0.04,0.04,1
ELETJ440,2025-10-07,9.4,9.4,9.4,9.4,1
ELETK614,2025-10-07,0.28,0.28,0.28,0.28,1
GRNDK610,2025-10-07,0.01,0.01,0.01,0.01,2
ELETV483,2025-10-07,0.05,0.05,0.05,0.06,4
EQTLJ393,2025-10-07,0.02,0.02,0.02,0.02,1
TOTSJ388,2025-10-07,5,5,5,5,1
EQTLK400,2025-10-07,0.14,0.13,0.13,0.14,2
EQTLL365,2025-10-07,1.75,1.75,1.75,1.75,1
EQTLJ385,2025-10-07,0.02,0.02,0.02,0.02,1
ELETJ453,2025-10-07,8.27,8.27,8.27,8.27,1
HBORL540,2025-10-07,0.05,0.05,0.05,0.05,1
CMIGV125,2025-10-07,0.83,0.83,0.83,0.83,2
CMIGR110,2025-10-07,0.19,0.19,0.19,0.19,1
BRKMK660,2025-10-07,0.6,0.6,0.6,0.6,1
LEVEL346,2025-10-07,0.18,0.18,0.18,0.18,1
SMFTL234,2025-10-07,3.25,2.8,2.8,3.25,3
CMIGN110,2025-10-07,0.14,0.14,0.14,0.14,2
BRKMK540,2025-10-07,1.44,1.44,1.44,1.44,1
SAPRW408,2025-10-07,4.86,4.86,4.86,4.86,1
ELETK600,2025-10-07,0.17,0.16,0.16,0.17,2
EQTLJ355W2,2025-10-07,0.51,0.51,0.51,0.51,1
BRKMK830,2025-10-07,0.11,0.11,0.11,0.11,1
CSNAV820W4,2025-10-07,0.16,0.16,0.16,0.16,1
ELET6,2025-10-07,54.99,54.45,54.06,54.99,4986
MANA11,2025-10-07,8.73,8.73,8.69,8.73,4483
SMFT3,2025-10-07,25,24.6,24.07,25.15,22443
HBOR3F,2025-10-07,3.84,3.3,3.25,3.84,456
MYPK3,2025-10-07,10.95,10.79,10.76,10.95,5083
XPML11,2025-10-07,106.1,105.17,105.17,106.34,12691
KNHF11,2025-10-07,92.67,92.51,92.02,92.67,5368
VSLH11,2025-10-07,2.63,2.61,2.61,2.64,784
MFII11,2025-10-07,76.88,76.44,76,77.15,1115
RADL3,2025-10-07,18.76,18.48,18.21,18.81,20548
UNIP6F,2025-10-07,74.32,76.4,73.68,76.4,1129
RECR11,2025-10-07,80.05,79.91,79.5,80.28,3520
HGCR11,2025-10-07,94.25,95,93.55,95,5676
LIFE11,2025-10-07,8.15,8.22,8.13,8.22,2268
JSRE11,2025-10-07,61.75,61.83,61.42,61.99,6022
VULC3F,2025-10-07,19.39,19.12,18.95,19.47,1707
EGIEV395,2025-10-07,0.3,0.13,0.13,0.3,4
BRCR11,2025-10-07,43.11,42.96,42.9,43.4,6886
RBRR11,2025-10-07,87.83,87.45,87.17,87.89,7185
HSML11,2025-10-07,83.93,83.4,83.17,83.93,5677
MYPK3F,2025-10-07,11,10.77,10.77,11,844
VLID3F,2025-10-07,20.84,20.62,20.61,20.94,496
MCCI11,2025-10-07,91.9,91.55,89.81,92.14,5518
LIGT3F,2025-10-07,5.25,5.15,5.14,5.26,192
AGRO3,2025-10-07,20.29,20.17,20.1,20.29,1576
SNCI11,2025-10-07,83.5,83.64,83,83.93,731
RADLV180,2025-10-07,0.19,0.26,0.18,0.3,7
MULTK326,2025-10-07,0.07,0.07,0.07,0.07,3
RPRI11,2025-10-07,85.8,85.05,84.86,86.28,166
VLID3,2025-10-07,20.88,20.59,20.58,20.88,1557
TEPP11,2025-10-07,83.04,81.7,81.61,83.04,4003
ELETV55,2025-10-07,1.44,1.73,1.43,1.84,43
RADLV188,2025-10-07,0.42,0.51,0.41,0.68,19
ENEVK165,2025-10-07,0.69,0.58,0.58,0.69,11
FDES11F,2025-10-07,0.44,0.44,0.43,0.44,14
ELETV582,2025-10-07,1.79,2.01,1.75,2.01,13
S2ED34,2025-10-07,5.68,5.48,5.48,5.79,31
EZTCK182,2025-10-07,0.25,0.17,0.17,0.25,5
MULTJ291,2025-10-07,0.12,0.1,0.1,0.12,6
CSNAV829,2025-10-07,0.13,0.17,0.12,0.17,29
WHRL4F,2025-10-07,4.78,4.69,4.69,4.84,83
NSLU11,2025-10-07,203.51,203.61,203.51,208.44,122
SAPRK378,2025-10-07,0.65,0.4,0.33,0.65,11
INLG11,2025-10-07,73.85,73.58,73.51,73.85,120
SNME11,2025-10-07,9.58,9.53,9.53,9.6,67
JSCR11,2025-10-07,8.05,8.02,8.02,8.07,79
IRFM11,2025-10-07,93.72,93.58,93.54,93.72,297
MILSJ123,2025-10-07,0.05,0.03,0.03,0.05,3
EGIEJ441,2025-10-07,0.03,0.03,0.02,0.03,4
TRXY11,2025-10-07,8.96,8.92,8.82,9.05,31
GCRI11,2025-10-07,66.2,66.17,65.58,66.39,182
MYPKA130,2025-10-07,1.49,0.33,0.32,1.49,4
ELETJ485,2025-10-07,3.66,3.4,3.37,3.66,7
T1TW34,2025-10-07,345.29,350,344.7,350,37
WLMM4,2025-10-07,20.24,20.15,20.14,20.24,5
TUPYW125,2025-10-07,0.47,0.45,0.45,0.47,3
BEEFW675,2025-10-07,0.38,0.32,0.32,0.4,4
BDAP11,2025-10-07,11.64,11.64,11.63,11.64,96
CEBR5F,2025-10-07,21.53,23.5,21.53,24.15,46
HGBL11,2025-10-07,8.82,8.85,8.82,9.09,68
ELETW476,2025-10-07,0.26,0.29,0.25,0.29,8
CSNAJ900W4,2025-10-07,0.17,0.17,0.17,0.17,1
NEXT34,2025-10-07,110,111.86,110,112.74,22
CPFEK412,2025-10-07,0.34,0.29,0.29,0.34,2
CSNAJ840W4,2025-10-07,0.44,0.37,0.37,0.46,4
TUPYW120,2025-10-07,0.28,0.28,0.28,0.28,1
ITIP11,2025-10-07,64.54,64.58,64.39,65.02,53
PRNR3F,2025-10-07,16.75,16.13,15.83,16.75,191
ITIT11,2025-10-07,68.41,67.85,67.85,68.47,139
ELETW424,2025-10-07,0.1,0.11,0.09,0.11,4
M1RN34,2025-10-07,7.69,7.32,7.2,7.69,49
EQTLK393,2025-10-07,0.36,0.21,0.21,0.36,2
S2NW34,2025-10-07,32.66,31.6,31.11,32.66,247
FIXA11,2025-10-07,17.92,17.85,17.85,17.92,153
VTLT11,2025-10-07,86.6,86.57,85.95,86.6,325
N2LY34,2025-10-07,108.33,109.5,108.33,109.5,4
ENMT3F,2025-10-07,49,49,49,50.99,12
V2TX34,2025-10-07,24.02,24.08,24,24.08,3
EQTLV353,2025-10-07,0.45,0.58,0.31,0.58,41
CMIGW109,2025-10-07,0.04,0.05,0.04,0.05,7
JHSFW520,2025-10-07,0.01,0.01,0.01,0.01,2
CSNAW929,2025-10-07,0.8,0.92,0.8,0.92,4
CGRA4,2025-10-07,30.6,30.85,30.52,30.85,88
SAPRK328,2025-10-07,3.5,2.92,2.82,3.5,4
MSBR34,2025-10-07,168.98,166.6,165.76,169.82,130
BOBR4,2025-10-07,1.32,1.32,1.32,1.32,8
BRKMV720W2,2025-10-07,0.57,0.52,0.52,0.57,4
N1IS34,2025-10-07,234.14,232.81,232.81,234.86,89
L2RN34,2025-10-07,188.3,185.64,185.45,188.3,62
ENGIJ483,2025-10-07,0.89,0.94,0.87,0.99,54
S1YY34,2025-10-07,212.1,212.31,211.89,213.36,239
MULTJ276,2025-10-07,0.52,0.57,0.52,0.57,12
J2BL34,2025-10-07,135.44,136.11,133.92,136.88,240
RADLK185,2025-10-07,1.14,1.2,1.1,1.2,5
MULTW266,2025-10-07,0.49,0.47,0.46,0.51,66
MULTK311,2025-10-07,0.16,0.16,0.16,0.16,1
BRKMK860,2025-10-07,0.08,0.08,0.08,0.08,1
ODPVB140,2025-10-07,2.13,2.2,2.13,2.2,12
SAPRW348,2025-10-07,0.58,0.8,0.58,0.8,2
EGIEK423,2025-10-07,0.82,0.97,0.79,1.1,126
EZTCW162,2025-10-07,0.65,0.7,0.63,0.71,6
CPFET382,2025-10-07,1,1.08,1,1.08,2
MULTK301,2025-10-07,0.32,0.31,0.29,0.32,7
EGIEJ41,2025-10-07,0.36,0.42,0.2,0.44,17
MYPKW123,2025-10-07,1.17,1.2,1.17,1.24,77
EGIEW373,2025-10-07,0.24,0.19,0.15,0.24,994
P1GR34,2025-10-07,643.84,648.32,643.84,650.88,37
CPLEI90,2025-10-07,4.7,4.66,4.62,4.72,104
ELETA499,2025-10-07,6.55,6.55,6.55,6.55,2
BIED3,2025-10-07,3.12,3.1,3.04,3.18,17
BRKMJ660,2025-10-07,0.37,0.33,0.33,0.39,4
OULG11,2025-10-07,37.4,36.63,36.61,37.4,29
JHSFK660,2025-10-07,0.13,0.12,0.11,0.13,8
AGROW200,2025-10-07,0.38,0.38,0.38,0.38,9
EGIEX383,2025-10-07,0.27,0.25,0.21,0.28,10
EQTLW323,2025-10-07,0.15,0.22,0.15,0.22,10
HSRE11,2025-10-07,98.8,98.81,98,98.81,5
ELETK518,2025-10-07,5.58,5.57,5.57,5.58,2
BRKMW660,2025-10-07,0.46,0.48,0.44,0.48,12
EZTCW147,2025-10-07,0.19,0.19,0.19,0.19,1
