Ativo,DataPregao,Abertura,Fechamento,PrecoMin,PrecoMax,Volume
USIMB478,2025-10-07,0.36,0.36,0.36,0.36,1
HAPVV390,2025-10-07,3.62,3.62,3.62,3.62,1
BBASM215,2025-10-07,0.95,0.95,0.95,0.95,1
HAPVJ410,2025-10-07,0.02,0.02,0.02,0.02,1
USIMV430W4,2025-10-07,0.1,0.1,0.1,0.1,1
BBAS3,2025-10-07,21.31,21.21,21.07,21.35,49741
BBASK221,2025-10-07,0.71,0.67,0.61,0.73,939
BBASK204,2025-10-07,1.65,1.66,1.52,1.72,834
BBASK232,2025-10-07,0.45,0.43,0.39,0.47,86
BBASJ234,2025-10-07,0.04,0.03,0.02,0.04,127
BBASN240,2025-10-07,2.51,2.51,2.51,2.51,1
BBASV21,2025-10-07,0.24,0.26,0.24,0.36,606
B3SAK124,2025-10-07,0.65,0.53,0.51,0.65,29
CVCB3F,2025-10-07,1.77,1.78,1.73,1.79,920
B3SAL141,2025-10-07,0.2,0.21,0.2,0.21,5
BBASW26,2025-10-07,4.04,3.99,3.95,4.18,997
BBASK181,2025-10-07,3.57,3.53,3.37,3.6,114
B3SAK139,2025-10-07,0.15,0.1,0.09,0.15,118
HAPVK400W1,2025-10-07,0.48,0.34,0.31,0.55,123
HAPVK420W1,2025-10-07,0.26,0.15,0.14,0.27,25
BBASJ221,2025-10-07,0.23,0.2,0.17,0.24,262
B3SAW112,2025-10-07,0.1,0.11,0.1,0.12,33
BBASK216,2025-10-07,0.9,0.9,0.83,0.95,1151
BBASW252,2025-10-07,3.29,3.31,3.26,3.45,120
BBASX193,2025-10-07,0.25,0.25,0.22,0.3,15
B3SAV122,2025-10-07,0.12,0.19,0.12,0.22,102
BBASJ153,2025-10-07,5.91,5.91,5.91,5.91,1
BBASW234,2025-10-07,2.05,2.05,2,2.22,813
B3SAJ134,2025-10-07,0.05,0.02,0.02,0.05,39
BBASX214,2025-10-07,0.9,0.97,0.88,0.99,325
BBASV500,2025-10-07,0.36,0.38,0.33,0.49,228
BBASV291,2025-10-07,7.55,7.39,7.39,7.55,22
BBASV231,2025-10-07,1.58,1.47,1.47,1.65,19
USIMV447,2025-10-07,0.07,0.14,0.07,0.17,62
BBASJ230W2,2025-10-07,0.01,0.01,0.01,0.01,12
BBASK191,2025-10-07,2.66,2.64,2.5,2.7,29
